marca,desc,0
"Moleca","Cerveza
 330 cc, Quimara Pale Ale","$999"
"Kunstmann","Cerveza
 Botella 330 cc, Nacional, Weissbier","$1.450"
"Tübinger","Cerveza
 Art Flannery's. Botella de 333 cc.","$1.395"
"Kunstmann","Pack de Cervezas
 4 unid","$5.279"
"Kunstmann","Cerveza
 Lata 350 cc, Torobayo, Nacional","$1.299"
"Volcanes","Cerveza
 Summer Lúcuma. Nacional y Artesanal. Premium. Botella ...","$1.269"
"Moleca","Cerveza
 Quimera Pale Ale. 750cc.","$2.749"
"Kross","Cerveza
 Botella 710 cc, Lupulus","$3.149"
"Goose Island","Cerveza
 Pack 4 unid de 355 cc c/u, 312 Ale, 4,2°","$5.290"
"Mestra","Pack de Cervezas
 330 cc c/u, 4 unid, Nacional, Stout","$4.990"
"+56","Cerveza Artesanal
 Ambar, 330 Ml","$1.499"
"Kunstmann","Cerveza Negra
 Botella 330 cc, Bock, Nacional","$1.619"
"Szot","Cerveza
 Nacional, Rubia al vapor, Botella 330 cc.","$1.290"
"Kunstmann","Cerveza
 Botella 330 ml, Torobayo","$1.619"
"Grassau","Cerveza
 Nacional. Bock. 100% Artesanal. 7.0°. Botella de 330 c...","$1.190"
"Del Puerto","Cerveza
 Botella 500 cc, Nacional, Rubia, Strong Ale, Con antio...","$1.990"
"Nomade","Cerveza
 330 ml, Indian Pale","$1.290"
"Volcanes","Cerveza
 Botella 350 cc, Premium Lager","$1.269"
"Salzburg","Cerveza
 Nacional, Helles Lager, Botella 330 cc.c/u","$1.290"
"Austral","Cerveza
 Botella 330 cc, Yagán Dark Ale, Nacional","$1.389"
"Imperial","Pack de Cervezas
 330 cc c/u, 4 unid, Dunkel 4,6°","$4.190"
"Austral","Pack de Cervezas
 Pack 4 unid, 350 cc c/u, Nacional","$3.850"
"Moleca","Cerveza
 Quimera Amber Ale. 750cc.","$2.749"
"Kunstmann","Cerveza Rubia
 Botella 330 cc, Lager, Nacional","$1.619"
"Kross","Cerveza
 Botella 330 cc, Nacional, 5 Aniversario","$1.519"
"Goose Island","Cerveza
 Pack 4 unid de 355 cc c/u, Ipa, 5,9°","$5.490"
"Volcanes","Cerveza Bock
 Botella 350 cc, Sabor Chocolate","$1.269"
"Crater","Cerveza Artesanal
 330 cc.","$1.349"
"Kunstmann","Pack de Cervezas
 Pack 6 unid, 330 ml c/u, Torobayo","$7.059"
"Tübinger","Cerveza
 Nacional, Artesanal, Red Ale, Roja, Botella 333 cc.","$1.395"
"+56","Cerveza Artesanal
 Pale Ale, 330 Ml","$1.499"
"Dolbek","Cerveza Artesanal
 Botella, 330 cc, Lager Maqui","$1.450"
"Mestra","Cerveza
 330 cc, Cero Alcohol","$1.109"
"Salzburg","Pack de Cervezas
 330 cc c/u, 4 unid, Nacional, Marzen","$5.100"
"Kross","Pack de Cervezas
 Pack 4 unid, 330 cc c/u, Maibock, Nacional","$5.290"
"Austral","Cerveza
 Botella 330 cc, Lager, Nacional","$1.049"
"Grassau","Cerveza
 Nacional, Allipen Ale, Botella 330 cc.","$1.190"
"Mestra","Pack de Cervezas
 Pack 4 unid, 330 cc c/u, Blonde Ale, Nacional","$4.990"
"Kross","Cerveza
 Botella 750 cc, 5 Aniversario, Nacional","$3.490"
"Guayacan","Cerveza Artesanal
 Chañar. Ambar Fuerte. 6.5°. 750 ml.","$2.990"
"Mestra","Cerveza
 Botella 330 cc, Nacional, Scotch ale","$1.129"
"Kunstmann","Cerveza Rubia
 Lata 330 cc, Nacional","$1.299"
"Del Puerto","Cerveza
 Botella 500 cc, Nacional, Negra, Dunkel Weisen","$1.990"
