marca,desc,0
"Budweiser","Pack de Cervezas
 Pack 6 unid, 355 cc c/u, Importada lata","$3.790"
"Lemon Stones","Cerveza
 Lata 350 cc, Sabor Limón, Nacional","$649"
"Lemon Stones","Cerveza
 Botella 355 cc, Sabor Limón, Nacional, Long neck","$829"
"Cristal","Cerveza
 Lata 350 cc, Nacional","$639"
"Budweiser","Cerveza
 Botella 355 cc, Importada","$919"
"Stella Artois","Pack de Cervezas
 Pack 10 unid, 354 cc c/u","$7.099"
"Coors","Cerveza
 Botella 355 cc, 1873","$890"
"Escudo","Pack de Cervezas
  Pack 18 unid, 350 cc c/u","$7.269"
"Heineken","Cerveza
 Lata 350 cc, Nacional","$859"
"Stella Artois","Cerveza
 Botella 985 cc, Nacional","$1.999"
"Coors","Cerveza
 Botella 355 cc, Light","$790"
"Morenita","Cerveza
 Lata 350 cc, Malta, Negra, Nacional","$599"
"Stella Artois","Cerveza
 Lata 354 cc, Nacional","$919"
"Cristal","Cerveza
 Nacional, Lata 470 cc.","$1.109"
"Becker","Cerveza
 1 L, Nacional, Botella desechable","$1.389"
"Becker","Pack de Cervezas
 Pack 24 unid, 350 cc c/u","$9.999"
"Becker","Cerveza
 Lata 350 cc, Nacional","$559"
"Becker","Pack de Cervezas
 Pack 18 unid,  350 cc c/u","$7.499"
"Corona","Pack de Cervezas
 355 cc c/u, 6 unid","$4.990"
"Becker","Cerveza
 Lata 350 cc, Grado 7","$699"
"Corona","Pack de Cervezas
 Pack 12 unid, 355 cc c/u, Importada","$10.999"
"Corona","Pack de Cervezas
 Pack 6 unid, 355 ml c/u, Light","$5.999"
"Royal","Pack de Cervezas
 Pack 6 unid, Botella 355 cc c/u, Black Label","$5.189"
"Budweiser","Cerveza
 Importada, Tapa rosca, Botella desechable 1 litro","$1.990"
"Heineken","Pack de Cervezas
 Pack 12 unid, 350 cc c/u","$8.159"
"Corona","Cerveza
 Pack 18 unid, 355 cc c/u","$16.990"
"Miller","Cerveza
 Botella 709 cc, 4.7°","$1.690"
"Budweiser","Cerveza
 Botella 473 cc, Aluminium","$1.589"
"Lemon Stones","Cerveza
 1.5 L, Sabor Limón, Nacional, Botella desechable","$1.990"
"Budweiser","Pack de Cervezas
 12 unid de 236 cc c/u, Sleek Lata","$6.490"
"Heineken","Pack de Cervezas
 Pack 12 unid, 330 cc c/u, Nacional, Extra long neck","$8.990"
"Stella Artois","Pack de Cervezas
 Pack 12 unid, 354 cc c/u, Nacional","$8.299"
"Cristal","Cerveza
 355 cc, Long Neck, Nacional, Botella desechable","$649"
"Baltica Dry","Cerveza
 Lata 350 cc, Nacional","$469"
"Baltica Dry","Cerveza
 Nacional, Botella retornable 1 Litro","$890"
"Becker","Pack de Cervezas
 Pack 12 unid, 350 cc c/u, Nacional","$4.999"
"Cristal","Pack de Cervezas
 Pack 18 unid, 350 cc c/u, Nacional","$8.179"
"Corona","Cerveza
 Botella 750 cc, Importada","$1.789"
"Royal","Cerveza
 Botella 355 cc, Nacional","$819"
"Cristal","Pack de Cervezas
 Pack 12 unid, 350 cc c/u, Nacional","$5.390"
"Carlsberg","Cerveza
 Lata 330 cc, Importada","$769"
"Cristal","Cerveza
 Pack 12 unid, 350 cc c/u, Light","$5.790"
"Dorada","Cerveza
 Nacional, Extra fuerte,  Lata 350 cc.","$549"
"Royal","Cerveza
 Lata 350 cc, Nacional","$890"
"Heineken","Cerveza
 Botella 330 cc, Nacional","$929"
"Baltica","Pack de Cervezas
 Pack 12 unid, 350 cc c/u, Nacional","$4.689"
"Escudo","Cerveza
 Lata 355 cc, Nacional","$619"
"Miller","Pack de Cervezas
 Pack 6 unid, 355 cc c/u, Norteamericana","$5.279"
"Escudo","Pack de Cervezas
 Pack 12 unid, 350 cc c/u, Nacional","$5.449"
