marca,desc,0
"Corona","Pack de Cervezas
 Pack 6 unid, 355 ml c/u, Light","$5.999"
"Kunstmann","Pack de Cervezas
 Pack 4 unid, 330 cc c/u, Miel, Nacional","$6.089"
"Lift Blue","Cerveza
 Hoegaarden + Vaso","$6.690"
"Mestra","Pack de Cervezas
 Pack 4 unid, 330 cc c/u, Blonde Ale, Nacional","$4.990"
"Becker","Cerveza
 Pack 6 unid, Lata 350 cc c/u, Nacional","$2.779"
"Becker","Pack de Cervezas
 Pack 12 unid, 350 cc c/u, Nacional","$4.999"
"Cusqueña","Pack de Cervezas
 Pack 6 unid, 355 cc c/u, 4,8° Lata","$4.129"
"Corona","Pack de Cervezas
 355 cc c/u, 6 unid","$4.990"
"Cristal","Pack de Cervezas
 Pack 18 unid, 350 cc c/u, Nacional","$8.179"
"Escudo","Cerveza
 Pack 6 unid, 355 cc c/u, Nacional","$3.690"
"Kunstmann","Pack de Cervezas
 Pack 4 unid, 330 cc c/u, Sommer Pils","$4.950"
"Cristal","Cerveza
 Nacional, Pack 6 Unidades, Lata 470 cc. c/u","$4.250"
"Kross","Pack de Cervezas
 Pack 4 unid, 330 cc c/u, Lager, Nacional,","$4.790"
"Grolsh","Pack de Cervezas
 Pack 6 unid, 330 cc c/u","$4.590"
"Budweiser","Pack de Cervezas
 12 unid de 236 cc c/u, Sleek Lata","$6.490"
"Escudo","Pack de Cervezas
  Pack 18 unid, 350 cc c/u","$7.269"
"Austral","Pack de Cervezas
 Pack 6 unid, 330 cc c/u, Calafate","$6.490"
"Cusqueña","Pack de Cervezas
 Pack 6 unid, 355 cc c/u, Importada Botella.","$4.690"
"Grolsch","Pack de Cervezas
 6 unid de 330 cc c/u, Botella","$5.090"
"Stella Artois","Pack de Cervezas
 Pack 10 unid, 354 cc c/u","$7.099"
"Mestra","Pack de Cervezas
 330 cc c/u, 4 unid, Nacional, Stout","$4.990"
"Cristal","Cerveza
 Pack 6 unid, Lata 350 cc c/u, Nacional","$3.239"
"Heineken","Pack de Cervezas
 Pack 12 unid, 350 cc c/u","$8.159"
