marca,desc,cantidad,0,imagen-src
"Kunstmann","Pack Cerveza Lager","4 Botellas 330 cc c/u","$			5.190","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/288299a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Kross","Cerveza Golden Pale Ale","Botella 710 ml","$			2.190","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/614896a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Kunstmann","Pack Cerveza Honig Ale Sabor Miel","4 Botellas 330 ml c/u","$			5.790","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/494678a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Del Puerto","Cerveza Scottish Amber Ale Botella","500 cc","$			1.990","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/833867a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Mestra","Pack Cerveza Stout","4 Botellas 330 cc c/u","$			4.690","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/407537a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Kross","Pack Cerveza Pilsner Lager","4 Botellas 330 cc c/u","$			4.690","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/274774a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Kunstmann","Cerveza Ale Gran Torobayo","Botella 480 cc","$			2.490","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/276334a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Dolbek","Cerveza Artesanal Ale Botella","330 cc","$			1.390","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/769860a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Grassau","Cerveza Premium Weizen","330 cc","$			1.250","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/500797a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Austral","Pack Cerveza Calafate Ale","4 Botellas 330 cc c/u","$			5.090","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/304289a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
