marca,desc,cantidad,0,imagen-src
"Miller","Pack Cerveza Genuine Draft","6 Latas 355 cc c/u","$			4.190","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/292787a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Mahou","Cerveza Mahou Original Lata","500 ml","$			890","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/716506a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Corona","Cerveza Extra","Botella 710 cc","$			1.790","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/11413a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Heineken","Pack Cervezas Lager","12 Latas 350 cc c/u","$			7.990","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/723081a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Miller","Pack Cerveza Genuine Draft","6 Botellas 355cc c/u","$			4.590","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/274794a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Budweiser","Pack Cervezas","6 Latas de 355 cc c/u","$			4.590","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/804232a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Heineken","Pack Cerveza Lager","6 Latas 350 cc c/u","$			4.590","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1309a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Polar Imperial","Pack Cerveza Lager Especial","4 Latas 350 ml c/u","$			4.190","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/441954a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Miller","Cerveza Genuine Draft","Botella 709 ml","$			1.590","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/443069a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Alhambra","Cerveza Premium Lager Botella","330 ml","$			1.290","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/752240a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Estrella Galicia","Cerveza Especial Lata","500 cc","$			1.190","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/825751a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Heineken","Pack Cerveza Premium Lager","6 Botellas 330 cc c/u","$			4.890","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/9603a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Royal Guard","Pack Cerveza Lager","6 Latas 350cc c/u","$			4.290","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/304423a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
