marca,desc,cantidad,0,imagen-src
"Tecate","Pack Cerveza Mexicana","6 Botellas de 355 cc c/u","$			4.490","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/308441a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Royal Guard","Pack Cervezas Premium Lager","12 Latas de 350 cc c/u","$			7.390","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/704136a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Lemon Stones","Pack Cerveza Sabor Limón","6 Botellas 355 cc c/u","$			3.690","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/310195a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Becker","Pack Cerveza Premium","6 Latas 350 cc c/u","$			2.590","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/307633a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Cristal","Pack Cerveza Lager Light","6 Botellas 355 cc c/u","$			3.690","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/536364a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Cristal","Pack Cerveza Lager","12 Latas 350 cc c/u","$			5.690","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/312203a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Lemon Stones","Cerveza Limón","6 Latas 350 cc c/u","$			3.290","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/304171a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Escudo","Cervezas Lager","6 Latas 350cc c/u","$			2.850","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/310123a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Cristal","Pack Cerveza Lager","6 Botellas 355 cc c/u","$			3.390","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/331150a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Becker","Pack Cerveza Genuine Lager","12 Latas 350 cc c/u","$			4.690","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/301415a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Cristal","Pack Cerveza Lager","6 Latas 350 cc c/u","$			3.090","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/310085a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Blue Moon","Pack Cervezas Wheat Ale","6 Latas 350 cc c/u","$			7.690","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/769994a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Escudo","Pack Cervezas Lager","12 Latas 350 cc c/u","$			5.390","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/312223a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
