marca,desc,0,imagen-src
"DEL PUERTO","Botella 500 mls","$ 1.689","http://s7d2.scene7.com/is/image/Tottus/20129007?$S7Product$&wid=129&hei=129"
"TUBINGER","Pack 4 x 333 mls","$ 5.299","http://s7d2.scene7.com/is/image/Tottus/20296069?$S7Product$&wid=129&hei=129"
"KUNSTMANN","Pack 4 x 350 cc","$ 5.199","http://s7d2.scene7.com/is/image/Tottus/20030175?$S7Product$&wid=129&hei=129"
"DEL PUERTO","500 mls","$ 2.189","http://s7d2.scene7.com/is/image/Tottus/20189114?$S7Product$&wid=129&hei=129"
"SZOT","Pack 4 x 330 mls","$ 5.699","http://s7d2.scene7.com/is/image/Tottus/20300416?$S7Product$&wid=129&hei=129"
"MESTRA","Pack 4 x 330 mls","$ 4.859","http://s7d2.scene7.com/is/image/Tottus/20089077?$S7Product$&wid=129&hei=129"
"MESTRA","Pack 4 x 330 mls","$ 4.859","http://s7d2.scene7.com/is/image/Tottus/20089083?$S7Product$&wid=129&hei=129"
"KUNSTMANN","Botella 330 mls","$ 1.539","http://s7d2.scene7.com/is/image/Tottus/20173405?$S7Product$&wid=129&hei=129"
"DEL PUERTO","Botella 500 mls","$ 1.989","http://s7d2.scene7.com/is/image/Tottus/20189116?$S7Product$&wid=129&hei=129"
"KROSS","Botella 330 mls","$ 1.999","http://s7d2.scene7.com/is/image/Tottus/20330453?$S7Product$&wid=129&hei=129"
"MAREDSOUS","Botella 330 mls","$ 2.499","http://s7d2.scene7.com/is/image/Tottus/20253844?$S7Product$&wid=129&hei=129"
"SALZBURG","Pack 4 x 330 mls","$ 4.859","http://s7d2.scene7.com/is/image/Tottus/20089087?$S7Product$&wid=129&hei=129"
"NOMADE","Botella 333 mls","$ 1.289","http://s7d2.scene7.com/is/image/Tottus/20218183?$S7Product$&wid=129&hei=129"
"AUSTRAL","Pack 4 x 350 cc","$ 4.839","http://s7d2.scene7.com/is/image/Tottus/20030177?$S7Product$&wid=129&hei=129"
