marca,desc,0,imagen-src
"ROYAL","Pack 12 x 350 cc","$ 7.699","http://s7d2.scene7.com/is/image/Tottus/20313403?$S7Product$&wid=129&hei=129"
"VOLCANES","Pack 4 x 350 cc","$ 4.189","http://s7d2.scene7.com/is/image/Tottus/20186995?$S7Product$&wid=129&hei=129"
"LIEFMANS","Botella 250 mls","$ 7.899","http://s7d2.scene7.com/is/image/Tottus/20253848?$S7Product$&wid=129&hei=129"
"STELLA ARTOIS","Pack 6 x 354 cc","$ 4.969","http://s7d2.scene7.com/is/image/Tottus/20035226?$S7Product$&wid=129&hei=129"
"CRISTAL","Pack 18 x 350 mls","$ 8.069","http://s7d2.scene7.com/is/image/Tottus/20194545?$S7Product$&wid=129&hei=129"
"KUNSTMANN","Pack 6 x 350 cc","$ 6.989","http://s7d2.scene7.com/is/image/Tottus/20225829?$S7Product$&wid=129&hei=129"
"AUSTRAL","Pack 4 x 350 cc","$ 3.999","http://s7d2.scene7.com/is/image/Tottus/02300283?$S7Product$&wid=129&hei=129"
"ESCUDO","Pack 12 x 350 cc","$ 5.379","http://s7d2.scene7.com/is/image/Tottus/20048787?$S7Product$&wid=129&hei=129"
"MILLER","Pack 6 x 350 cc","$ 4.899","http://s7d2.scene7.com/is/image/Tottus/20097303?$S7Product$&wid=129&hei=129"
"BECKER","Pack 6 x 350 cc","$ 2.789","http://s7d2.scene7.com/is/image/Tottus/02300114?$S7Product$&wid=129&hei=129"
"BECKER","Pack 8 x 354 cc","$ 3.849","http://s7d2.scene7.com/is/image/Tottus/20263400?$S7Product$&wid=129&hei=129"
"LEMON STONE","Pack 6 x 355 cc","$ 3.899","http://s7d2.scene7.com/is/image/Tottus/01018804?$S7Product$&wid=129&hei=129"
"CRISTAL","Pack 6 x 330 cc","$ 3.799","http://s7d2.scene7.com/is/image/Tottus/01018613?$S7Product$&wid=129&hei=129"
"ROYAL GUARD","Pack 6 x 350 cc","$ 4.589","http://s7d2.scene7.com/is/image/Tottus/01018649?$S7Product$&wid=129&hei=129"
"BECKER","Pack 12 x 350 cc","$ 4.889","http://s7d2.scene7.com/is/image/Tottus/20070572?$S7Product$&wid=129&hei=129"
"ESCUDO","Pack 6 x 350 cc","$ 3.149","http://s7d2.scene7.com/is/image/Tottus/01018054?$S7Product$&wid=129&hei=129"
"CORONA","Pack 12 x 355 cc","$ 10.999","http://s7d2.scene7.com/is/image/Tottus/20157279?$S7Product$&wid=129&hei=129"
"BECKER","Pack 18 x 350 cc","$ 7.479","http://s7d2.scene7.com/is/image/Tottus/20164444?$S7Product$&wid=129&hei=129"
"AUSTRAL","Pack 4 x 350 cc","$ 4.839","http://s7d2.scene7.com/is/image/Tottus/20030177?$S7Product$&wid=129&hei=129"
"KUNSTMANN","Pack 4 x 330 cc","$ 5.599","http://s7d2.scene7.com/is/image/Tottus/02300058?$S7Product$&wid=129&hei=129"
"CRISTAL","Pack 6 x 355 cc","$ 3.999","http://s7d2.scene7.com/is/image/Tottus/20199796?$S7Product$&wid=129&hei=129"
"DORADA","Pack 6 x 350 cc","$ 2.249","http://s7d2.scene7.com/is/image/Tottus/02300261?$S7Product$&wid=129&hei=129"
"SALZBURG","Pack 4 x 330 cc","$ 4.859","http://s7d2.scene7.com/is/image/Tottus/20119954?$S7Product$&wid=129&hei=129"
"CORONA","Pack 6 x 355 cc","$ 5.939","http://s7d2.scene7.com/is/image/Tottus/20148244?$S7Product$&wid=129&hei=129"
"KUNSTMANN","Pack 4 x 350 cc","$ 5.199","http://s7d2.scene7.com/is/image/Tottus/02300056?$S7Product$&wid=129&hei=129"
"VOLCANES","Pack 4 x 350 cc","$ 4.189","http://s7d2.scene7.com/is/image/Tottus/20186993?$S7Product$&wid=129&hei=129"
"BECKER","Pack 24 x 350 cc","$ 9.699","http://s7d2.scene7.com/is/image/Tottus/20240954?$S7Product$&wid=129&hei=129"
"KUNSTMANN","Pack 4 x 350 cc","$ 5.199","http://s7d2.scene7.com/is/image/Tottus/20030175?$S7Product$&wid=129&hei=129"
"HEINEKEN","Pack 6 x 350 cc","$ 4.839","http://s7d2.scene7.com/is/image/Tottus/01018988?$S7Product$&wid=129&hei=129"
"CRISTAL","Pack 12 x 350 cc","$ 5.979","http://s7d2.scene7.com/is/image/Tottus/02300282?$S7Product$&wid=129&hei=129"
"CORONA","Pack 6 x 355 cc","$ 5.869","http://s7d2.scene7.com/is/image/Tottus/20148243?$S7Product$&wid=129&hei=129"
"KUNSTMANN","Pack 4 x 330 cc","$ 6.169","http://s7d2.scene7.com/is/image/Tottus/20188132?$S7Product$&wid=129&hei=129"
"BALTICA","Pack 6 x 350 cc","$ 2.599","http://s7d2.scene7.com/is/image/Tottus/02300113?$S7Product$&wid=129&hei=129"
"LEMON STONE","Pack 6 x 350 cc","$ 3.359","http://s7d2.scene7.com/is/image/Tottus/01018799?$S7Product$&wid=129&hei=129"
"BUDWEISER","Pack 18 x 355 cc","$ 11.589","http://s7d2.scene7.com/is/image/Tottus/20316912?$S7Product$&wid=129&hei=129"
"MESTRA","Pack 4 x 330 ml","$ 4.859","http://s7d2.scene7.com/is/image/Tottus/20119950?$S7Product$&wid=129&hei=129"
"CRISTAL","Pack 6 x 350 cc","$ 3.199","http://s7d2.scene7.com/is/image/Tottus/01018609?$S7Product$&wid=129&hei=129"
"GOOSE","PACK 4 X 355 cc","$ 5.289","http://s7d2.scene7.com/is/image/Tottus/20348824?$S7Product$&wid=129&hei=129"
