marca,desc,0,imagen-src
"CORONA","Botella 710 cc","$ 1.999","http://s7d2.scene7.com/is/image/Tottus/20075048?$S7Product$&wid=129&hei=129"
"STELLA ARTOIS","Botella 660 mls","$ 1.499","http://s7d2.scene7.com/is/image/Tottus/20347302?$S7Product$&wid=129&hei=129"
"STELLA ARTOIS","Pack 12 x 354 cc","$ 8.339","http://s7d2.scene7.com/is/image/Tottus/20126446?$S7Product$&wid=129&hei=129"
"ROYAL GUARD","Pack 6 x 470 mls","$ 5.589","http://s7d2.scene7.com/is/image/Tottus/20346541?$S7Product$&wid=129&hei=129"
"STELLA ARTOIS","Botella 985 cc","$ 1.999","http://s7d2.scene7.com/is/image/Tottus/20097340?$S7Product$&wid=129&hei=129"
"STELLA ARTOIS","Pack 6 x 354 cc","$ 4.969","http://s7d2.scene7.com/is/image/Tottus/20035226?$S7Product$&wid=129&hei=129"
"CORONA","Pack 6 x 355 cc","$ 5.939","http://s7d2.scene7.com/is/image/Tottus/20148244?$S7Product$&wid=129&hei=129"
"HEINEKEN","Pack 6 x 350 cc","$ 4.839","http://s7d2.scene7.com/is/image/Tottus/01018988?$S7Product$&wid=129&hei=129"
"HEINEKEN","Pack 6 x 330 mls","$ 5.149","http://s7d2.scene7.com/is/image/Tottus/01018989?$S7Product$&wid=129&hei=129"
"CORONA","Pack 6 x 355 cc","$ 5.869","http://s7d2.scene7.com/is/image/Tottus/20148243?$S7Product$&wid=129&hei=129"
"ROYAL","Pack 12 x 350 cc","$ 7.699","http://s7d2.scene7.com/is/image/Tottus/20313403?$S7Product$&wid=129&hei=129"
"CRISTAL","Pack 12 unidades","$ 5.099","http://s7d2.scene7.com/is/image/Tottus/20296116?$S7Product$&wid=129&hei=129"
